data_year,state_name,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies,covered_agencies,covered_pct,total_population,nibrs_population
1978,Washington,160,139,0.87,0,0,0,0,3791713,0
2000,Louisiana,252,192,0.76,0,0,0,0,4522112,0
2006,Delaware,70,53,0.76,53,1.00,1,0.02,881748,853476
1976,Michigan,587,509,0.87,0,0,0,0,9224312,0
1972,Nebraska,225,216,0.96,0,0,0,0,1537165,0
1991,Washington,235,199,0.85,0,0,0,0,5028026,0
1963,Canal Zone,1,1,1.00,0,0,0,0,43200,0
1977,New Mexico,116,107,0.92,0,0,0,0,1190856,0
1978,Hawaii,17,8,0.47,0,0,0,0,928842,0
1988,Puerto Rico,1,0,0,0,0,0,0,0,0
2014,New Mexico,142,120,0.85,0,0,0,0,2091198,0
2015,Wisconsin,449,406,0.90,121,0.30,0,0,5876441,2601231
2014,American Samoa,1,0,0,0,0,0,0,0,0
2002,Iowa,248,221,0.89,221,1.00,0,0,2963614,2864063
2018,New Hampshire,238,187,0.79,188,1.01,1,0.01,1382257,1322800
2010,Idaho,138,109,0.79,106,0.97,0,0,1622423,1564555
1967,Illinois,450,386,0.86,0,0,0,0,10953157,0
1992,New Mexico,111,68,0.61,0,0,0,0,1603208,0
1968,New York,437,361,0.83,0,0,0,0,19064417,0
2018,Nebraska,331,234,0.71,97,0.41,0,0,1998902,967054
1963,Maine,87,80,0.92,0,0,1,0.01,999185,0
2022,Nebraska,342,262,0.77,261,1.00,1,0.00,2032148,1459853
2006,Alaska,46,34,0.74,0,0,0,0,670527,0
1971,Ohio,427,349,0.82,0,0,1,0.00,10865398,0
2002,New Hampshire,232,131,0.56,20,0.15,1,0.01,1340548,124996
1961,California,416,381,0.92,0,0,2,0.01,16170757,0
1983,New Jersey,607,513,0.85,0,0,0,0,7471424,0
2011,Louisiana,277,206,0.74,28,0.14,0,0,4648451,616344
1962,Ohio,383,361,0.94,0,0,0,0,10104365,0
1998,Mississippi,221,107,0.48,0,0,0,0,2752106,0
1994,New Jersey,618,516,0.83,0,0,0,0,7945294,0
2006,Missouri,663,617,0.93,2,0.00,5,0.01,5878107,17456
1987,Delaware,60,52,0.87,0,0,0,0,662642,0
2012,Puerto Rico,1,0,0,0,0,0,0,0,0
2019,Hawaii,5,4,0.80,1,0.25,0,0,1415872,974902
1976,Hawaii,17,8,0.47,0,0,0,0,918842,0
1993,New Mexico,111,68,0.61,0,0,0,0,1639020,0
1991,Massachusetts,417,227,0.54,0,0,0,0,6026328,0
1980,North Carolina,668,425,0.64,0,0,0,0,5848092,0
1965,South Dakota,95,82,0.86,0,0,0,0,710935,0
2018,Wyoming,83,58,0.70,0,0,0,0,588786,0
1995,Utah,151,115,0.76,28,0.24,0,0,2022592,597056
1995,Guam,1,0,0,0,0,0,0,0,0
2008,Maryland,183,158,0.86,0,0,0,0,5800551,0
1989,North Dakota,84,73,0.87,0,0,0,0,667679,0
1998,Iowa,244,223,0.91,223,1.00,0,0,2874801,2792446
2007,Illinois,949,213,0.22,1,0.00,0,0,12923835,155713
1972,Alaska,18,18,1.00,0,0,0,0,325000,0
1963,Nebraska,137,130,0.95,0,0,0,0,1463374,0
1982,Wyoming,78,69,0.88,0,0,0,0,502000,0
2008,Iowa,251,230,0.92,230,1.00,0,0,3028304,2986415
2002,Maryland,178,148,0.83,0,0,0,0,5615508,0
2022,Alaska,50,33,0.66,32,0.97,0,0,738329,444412
1963,District of Columbia,1,1,1.00,0,0,0,0,798000,0
1992,Florida,741,465,0.63,0,0,0,0,13525227,0
2019,Colorado,299,230,0.77,228,0.99,0,0,5818723,5729137
2014,New Hampshire,237,176,0.74,176,1.00,0,0,1362879,1278770
2004,District of Columbia,2,2,1.00,1,0.50,0,0,553523,0
1997,South Dakota,122,30,0.25,0,0,0,0,748154,0
1965,Minnesota,218,202,0.93,0,0,4,0.02,3672699,0
2011,District of Columbia,2,2,1.00,1,0.50,0,0,617996,0
1972,Missouri,279,189,0.68,0,0,0,0,4831453,0
2004,Indiana,363,285,0.79,0,0,0,0,6256746,0
2000,Michigan,789,616,0.78,590,0.96,0,0,10243936,7843235
1983,District of Columbia,1,1,1.00,0,0,0,0,623000,0
1962,Connecticut,99,77,0.78,0,0,0,0,2670948,0
1968,Nevada,28,21,0.75,0,0,0,0,457472,0
1960,Maine,70,62,0.89,0,0,0,0,971919,0
2003,Maine,199,165,0.83,0,0,11,0.07,1344343,0
1994,Rhode Island,54,45,0.83,0,0,0,0,1002570,0
1983,Kansas,270,250,0.93,0,0,0,0,2457371,0
1982,California,701,652,0.93,0,0,1,0.00,24902595,0
2014,Colorado,296,235,0.79,233,0.99,2,0.01,5402555,5280194
1961,Massachusetts,216,200,0.93,0,0,0,0,5166360,0
2012,Colorado,290,234,0.81,231,0.99,3,0.01,5227884,5091619
2021,South Dakota,187,115,0.61,115,1.00,0,0,935809,835058
2002,Arizona,110,96,0.87,0,0,0,0,5468832,0
1993,Iowa,233,211,0.91,209,0.99,0,0,2826653,2613455
1970,Ohio,414,341,0.82,0,0,0,0,10690511,0
1991,Florida,741,465,0.63,0,0,0,0,13313659,0
2012,Virginia,447,420,0.94,420,1.00,0,0,8193139,8185867
1990,Georgia,692,568,0.82,0,0,1,0.00,6573238,0
1964,New Mexico,69,60,0.87,0,0,0,0,1051606,0
1977,Arkansas,187,173,0.93,0,0,0,0,2144777,0
1987,Oregon,281,251,0.89,0,0,0,0,2743106,0
2002,Indiana,360,279,0.78,0,0,0,0,6174803,0
2011,Pennsylvania,1712,1428,0.83,0,0,1,0.00,13336187,0
1989,California,791,749,0.95,0,0,0,0,29323401,0
1971,Indiana,328,257,0.78,0,0,0,0,5291410,0
1984,California,713,663,0.93,0,0,1,0.00,25824263,0
2014,Mariana Islands,1,0,0,0,0,0,0,0,0
1998,South Dakota,126,61,0.48,0,0,0,0,751070,0
2005,Connecticut,119,101,0.85,69,0.68,0,0,3593240,2212631
1963,Arizona,47,42,0.89,0,0,1,0.02,1573945,0
2003,Canal Zone,0,0,0,0,0,0,0,0,0
2016,South Dakota,184,120,0.65,112,0.93,0,0,903858,802805
2005,Wyoming,79,63,0.80,0,0,0,0,515094,0
1967,Rhode Island,40,31,0.78,0,0,0,0,922614,0
1975,Canal Zone,1,0,0,0,0,0,0,44650,0
1960,Alaska,7,6,0.86,0,0,0,0,226167,0
1998,Guam,1,0,0,0,0,0,0,0,0
1999,Massachusetts,427,317,0.74,146,0.46,0,0,6190355,2436361
1980,Hawaii,17,8,0.47,0,0,0,0,1011103,0
1996,North Dakota,112,89,0.79,79,0.89,0,0,655543,511153
1978,Nebraska,229,199,0.87,0,0,0,0,1582935,0
1974,Maryland,98,67,0.68,0,0,0,0,4204818,0
1995,Alabama,408,280,0.69,0,0,0,0,4319212,0
1968,Wyoming,44,40,0.91,0,0,0,0,324719,0
2020,American Samoa,1,0,0,0,0,0,0,0,0
1995,Michigan,786,598,0.76,283,0.47,0,0,9793770,2808969
2008,New York,922,646,0.70,0,0,30,0.05,21383787,0
1983,Utah,140,111,0.79,0,0,0,0,1648138,0
1997,Arkansas,226,190,0.84,0,0,0,0,2584697,0
1985,Guam,1,0,0,0,0,0,0,0,0
1982,Virginia,423,397,0.94,0,0,0,0,5493803,0
1970,New Jersey,477,449,0.94,0,0,0,0,7202932,0
1984,Hawaii,17,5,0.29,0,0,0,0,1088227,0
1962,North Carolina,209,163,0.78,0,0,0,0,4715715,0
1995,Puerto Rico,1,0,0,0,0,0,0,0,0
1971,North Carolina,219,145,0.66,0,0,0,0,5156978,0
1979,New Mexico,120,100,0.83,0,0,1,0.01,1244079,0
2009,Indiana,370,308,0.83,0,0,0,0,6434990,0
2014,Illinois,1042,751,0.72,1,0.00,0,0,12938060,149586
1992,Virginia,425,407,0.96,0,0,0,0,6383048,0
2006,Rhode Island,49,48,0.98,46,0.96,0,0,1073858,1066573
1968,New Mexico,74,66,0.89,0,0,1,0.02,1065278,0
1982,Massachusetts,423,292,0.69,0,0,0,0,5786183,0
2020,Louisiana,312,192,0.62,87,0.45,0,0,4707331,2127634
2019,Kentucky,584,413,0.71,412,1.00,0,0,4514743,4460802
2002,Michigan,790,623,0.79,611,0.98,0,0,10348434,8375637
2004,Puerto Rico,1,0,0,0,0,0,0,0,0
1981,Tennessee,298,265,0.89,0,0,0,0,4624368,0
2001,Guam,1,0,0,0,0,0,0,0,0
1961,Colorado,110,103,0.94,0,0,1,0.01,1774226,0
1972,Arizona,62,52,0.84,0,0,0,0,1959532,0
2017,Delaware,80,62,0.78,62,1.00,0,0,978771,961939
1990,Washington,228,194,0.85,0,0,1,0.01,4877382,0
2014,West Virginia,468,274,0.59,274,1.00,0,0,1863569,1663666
2016,West Virginia,471,333,0.71,333,1.00,0,0,1844195,1647183
1973,Washington,137,120,0.88,0,0,0,0,3447438,0
1990,Idaho,116,93,0.80,0,0,0,0,1040226,0
1980,Pennsylvania,1314,1161,0.88,0,0,12,0.01,12040750,0
1996,Utah,151,115,0.76,29,0.25,0,0,2073379,711268
1979,California,617,593,0.96,0,0,0,0,22802669,0
1966,Wisconsin,209,186,0.89,0,0,0,0,4190179,0
2001,Canal Zone,0,0,0,0,0,0,0,0,0
1969,Utah,72,52,0.72,0,0,0,0,1086946,0
2000,Georgia,752,557,0.74,0,0,0,0,8200086,0
2014,Oregon,297,224,0.75,144,0.64,1,0.00,4056786,1534605
2002,Wisconsin,398,361,0.91,0,0,3,0.01,5518622,0
1989,Vermont,65,48,0.74,0,0,0,0,575708,0
2009,New Mexico,131,104,0.79,0,0,0,0,2016615,0
2004,Idaho,141,120,0.85,119,0.99,1,0.01,1437770,1392114
1979,Delaware,56,53,0.95,0,0,0,0,582000,0
2001,Georgia,751,549,0.73,0,0,3,0.01,8403421,0
2007,Tennessee,566,462,0.82,462,1.00,1,0.00,6169812,6156719
1998,Hawaii,14,4,0.29,0,0,0,0,1289793,0
2006,Utah,159,119,0.75,51,0.43,0,0,2652169,1844733
1992,Washington,238,201,0.84,0,0,0,0,5146257,0
1993,District of Columbia,1,1,1.00,0,0,0,0,578000,0
1989,West Virginia,371,299,0.81,0,0,1,0.00,1905559,0
2008,Connecticut,122,104,0.85,75,0.72,0,0,3592331,2427292
2007,Maine,184,167,0.91,14,0.08,0,0,1357264,272380
1990,Virginia,420,402,0.96,0,0,1,0.00,6193231,0
1981,Maryland,182,167,0.92,0,0,0,0,4336685,0
1987,Utah,146,110,0.75,0,0,0,0,1733174,0
2019,Virginia,457,416,0.91,416,1.00,0,0,8544468,8534283
2012,US Virgin Islands,2,0,0,0,0,0,0,0,0
1987,Washington,223,175,0.78,0,0,0,0,4542029,0
1967,Arkansas,145,70,0.48,0,0,0,0,2001184,0
1993,New Jersey,618,517,0.84,0,0,0,0,7913727,0
2000,California,787,722,0.92,0,0,1,0.00,33974269,0
2001,Oklahoma,368,299,0.81,0,0,0,0,3512705,0
2008,South Dakota,182,125,0.69,115,0.92,1,0.01,831492,703249
1968,Connecticut,99,76,0.77,0,0,0,0,3077500,0
1982,Tennessee,298,248,0.83,0,0,0,0,4662895,0
1996,Oklahoma,355,293,0.83,0,0,0,0,3349145,0
1966,Rhode Island,39,30,0.77,0,0,0,0,917286,0
1972,Hawaii,14,4,0.29,0,0,0,0,840737,0
2012,Louisiana,279,202,0.72,29,0.14,0,0,4674734,683214
1975,Maine,120,118,0.98,0,0,0,0,1059000,0
1962,New Hampshire,46,39,0.85,0,0,0,0,632004,0
1967,Georgia,276,108,0.39,0,0,0,0,4594214,0
1968,Michigan,299,266,0.89,0,0,1,0.00,8786602,0
2009,Iowa,252,229,0.91,229,1.00,0,0,3033600,2983079
1975,California,566,529,0.93,0,0,0,0,21459670,0
1988,Idaho,117,95,0.81,0,0,1,0.01,1031963,0
2018,Kentucky,572,413,0.72,413,1.00,5,0.01,4515472,4459343
2007,Massachusetts,417,355,0.85,277,0.78,0,0,6461073,5305965
2001,Nebraska,321,243,0.76,20,0.08,0,0,1778173,285522
1984,Guam,1,0,0,0,0,0,0,0,0
2018,Alaska,50,33,0.66,0,0,0,0,742552,0
2014,District of Columbia,3,3,1.00,1,0.33,0,0,658893,0
1986,Connecticut,115,101,0.88,0,0,0,0,3257504,0
2003,Utah,155,115,0.74,44,0.38,1,0.01,2457770,1628569
1983,Alabama,390,287,0.74,0,0,0,0,4018684,0
2021,New Mexico,145,87,0.60,87,1.00,0,0,2120439,1797760
1986,North Carolina,700,406,0.58,0,0,0,0,6347911,0
1998,Louisiana,234,180,0.77,0,0,0,0,4385359,0
1988,Michigan,777,653,0.84,0,0,1,0.00,9535293,0
1960,Nevada,28,26,0.93,0,0,0,0,285278,0
1971,Wyoming,45,37,0.82,0,0,0,0,348812,0
2019,Oregon,297,225,0.76,219,0.97,0,0,4359651,4084929
2016,Nebraska,331,236,0.71,86,0.36,0,0,1977033,842356
1970,Nevada,29,22,0.76,0,0,0,0,492914,0
1964,Colorado,113,100,0.88,0,0,0,0,2003460,0
1984,Alabama,390,281,0.72,0,0,0,0,4047951,0
1965,Wisconsin,208,190,0.91,0,0,0,0,4288550,0
2013,Rhode Island,50,49,0.98,47,0.96,0,0,1058087,1050471
1964,Oregon,96,92,0.96,0,0,1,0.01,1868114,0
1971,Maryland,93,65,0.70,0,0,0,0,4104849,0
1971,South Dakota,96,64,0.67,0,0,0,0,680820,0
2008,Pennsylvania,1664,1260,0.76,0,0,0,0,12990337,0
1980,Colorado,252,224,0.89,0,0,1,0.00,2896033,0
1999,Puerto Rico,1,0,0,0,0,0,0,0,0
1989,Maine,181,171,0.94,0,0,0,0,1234299,0
1976,New Mexico,115,110,0.96,0,0,0,0,1168856,0
1995,South Carolina,381,327,0.86,323,0.99,0,0,3730957,3665841
1981,North Carolina,673,427,0.63,0,0,0,0,5956122,0
1960,Iowa,203,190,0.94,0,0,1,0.01,2766036,0
1974,Oregon,173,160,0.92,0,0,0,0,2269335,0
2021,Hawaii,5,3,0.60,3,1.00,0,0,1441553,1231952
1967,Maryland,88,51,0.58,0,0,0,0,3780814,0
1998,New Hampshire,223,43,0.19,0,0,0,0,1342432,0
1987,Puerto Rico,2,0,0,0,0,0,0,0,0
1988,Minnesota,295,288,0.98,0,0,0,0,4320534,0
1979,Nebraska,229,196,0.86,0,0,0,0,1603256,0
1977,New York,968,805,0.83,0,0,0,0,19121002,0
1968,Florida,220,169,0.77,0,0,0,0,6301242,0
1969,Wisconsin,211,188,0.89,0,0,0,0,4254501,0
1969,New Jersey,473,467,0.99,0,0,0,0,7213978,0
1979,Virginia,399,377,0.94,0,0,0,0,5211399,0
1971,Virginia,190,133,0.70,0,0,0,0,4738076,0
2004,Michigan,793,610,0.77,605,0.99,0,0,10462367,8949219
1988,Kansas,342,309,0.90,0,0,0,0,2490770,0
1996,Louisiana,226,180,0.80,0,0,0,0,4369704,0
1971,Connecticut,99,73,0.74,0,0,1,0.01,3215454,0
1980,Mississippi,199,154,0.77,0,0,0,0,2511491,0
1986,Iowa,233,224,0.96,0,0,0,0,2863256,0
2011,US Virgin Islands,2,0,0,0,0,0,0,0,0
2016,Colorado,297,229,0.77,227,0.99,0,0,5590124,5519770
2011,Minnesota,373,321,0.86,0,0,2,0.01,5553912,0
1990,Oregon,277,208,0.75,0,0,0,0,2864558,0
1989,New Jersey,616,521,0.85,0,0,0,0,7751018,0
1979,South Carolina,312,225,0.72,0,0,2,0.01,2981730,0
1978,Minnesota,286,276,0.97,0,0,0,0,4020237,0
1999,South Dakota,127,72,0.57,0,0,0,0,743276,0
1976,Arizona,96,91,0.95,0,0,0,0,2283597,0
1963,Minnesota,217,211,0.97,0,0,2,0.01,3520659,0
1973,Arkansas,153,70,0.46,0,0,0,0,2057887,0
1989,Wyoming,76,70,0.92,0,0,0,0,478726,0
1976,Oregon,217,207,0.95,0,0,1,0.00,2335197,0
1973,Arizona,63,50,0.79,0,0,0,0,2075141,0
2020,Washington,317,255,0.80,233,0.91,0,0,7740975,7666590
1968,Nebraska,139,114,0.82,0,0,0,0,1440686,0
1964,Missouri,264,208,0.79,0,0,3,0.01,4488847,0
1988,Rhode Island,53,44,0.83,0,0,0,0,999739,0
1975,Iowa,216,211,0.98,0,0,0,0,2872381,0
2015,Connecticut,125,104,0.83,85,0.82,0,0,3682921,2773016
2016,Connecticut,126,106,0.84,90,0.85,0,0,3653221,2900457
1961,Indiana,227,217,0.96,0,0,0,0,4665785,0
1977,Nebraska,228,200,0.88,0,0,0,0,1578935,0
1998,Nebraska,322,254,0.79,9,0.04,0,0,1754330,205496
1983,Nebraska,229,138,0.60,0,0,0,0,1671779,0
1986,Maryland,182,153,0.84,0,0,1,0.01,4540424,0
1979,South Dakota,102,78,0.76,0,0,0,0,697666,0
2007,Indiana,365,303,0.83,0,0,0,0,6357333,0
1984,Connecticut,115,101,0.88,0,0,0,0,3221649,0
2012,South Carolina,538,441,0.82,441,1.00,2,0.00,4750466,4716691
1972,Ohio,431,352,0.82,0,0,0,0,10873446,0
1989,Colorado,267,227,0.85,0,0,5,0.02,3353058,0
1989,South Carolina,321,207,0.64,0,0,0,0,3580250,0
2009,South Dakota,184,129,0.70,120,0.93,2,0.02,842057,740661
1982,Colorado,262,211,0.81,0,0,0,0,3063569,0
1985,South Carolina,318,207,0.65,0,0,2,0.01,3411276,0
2002,Massachusetts,436,334,0.77,220,0.66,0,0,6442064,3794988
2010,Kansas,439,360,0.82,350,0.97,2,0.01,2937014,2236226
1997,Florida,928,454,0.49,0,0,0,0,15007458,0
2011,New Mexico,132,112,0.85,0,0,0,0,2085969,0
1972,Oregon,155,141,0.91,0,0,0,0,2187990,0
1994,Missouri,330,246,0.75,0,0,0,0,5358013,0
1999,Illinois,945,6,0.01,1,0.17,0,0,12246219,144646
1996,Arkansas,226,191,0.85,0,0,0,0,2569763,0
2001,Washington,280,242,0.86,0,0,0,0,6004842,0
1982,Nebraska,229,145,0.63,0,0,0,0,1661688,0
1973,Alabama,221,125,0.57,0,0,0,0,3634737,0
2021,Mariana Islands,1,0,0,0,0,0,0,0,0
1963,Montana,91,86,0.95,0,0,0,0,712374,0
2018,North Carolina,596,391,0.66,1,0.00,0,0,10417547,5485
1977,Ohio,509,446,0.88,0,0,0,0,10717260,0
2000,Wyoming,79,65,0.82,0,0,0,0,499238,0
1985,Alabama,390,285,0.73,0,0,1,0.00,4086156,0
1977,Georgia,401,350,0.87,0,0,1,0.00,5083587,0
1964,South Carolina,120,68,0.57,0,0,0,0,2612428,0
2018,Canal Zone,0,0,0,0,0,0,0,0,0
1987,Georgia,620,542,0.87,0,0,0,0,6269031,0
1980,New Hampshire,228,124,0.54,0,0,0,0,1041881,0
1975,Idaho,99,90,0.91,0,0,1,0.01,837108,0
2000,Utah,154,115,0.75,41,0.36,0,0,2355886,1182762
2016,Montana,137,109,0.80,103,0.94,0,0,1101927,1042048
2021,Canal Zone,0,0,0,0,0,0,0,0,0
2014,Maine,206,184,0.89,21,0.11,0,0,1376141,328438
1981,South Carolina,312,213,0.68,0,0,0,0,3225026,0
2011,Wyoming,81,64,0.79,0,0,0,0,575060,0
1973,Oklahoma,236,215,0.91,0,0,0,0,2684958,0
1984,Maine,141,133,0.94,0,0,0,0,1163943,0
1961,Virginia,171,138,0.81,0,0,1,0.01,3851731,0
1975,Kansas,225,215,0.96,0,0,0,0,2268214,0
2000,North Carolina,574,427,0.74,0,0,0,0,8084417,0
2015,New York,889,576,0.65,0,0,0,0,21755244,0
2012,Nevada,58,51,0.88,0,0,0,0,2765739,0
2022,Nevada,83,55,0.66,55,1.00,0,0,3184043,3162409
1981,Idaho,114,101,0.89,0,0,1,0.01,980821,0
2015,Georgia,789,534,0.68,0,0,0,0,10475611,0
1996,Colorado,273,208,0.76,1,0.00,1,0.00,3859457,262168
2013,Alabama,469,382,0.81,30,0.08,0,0,4845981,501793
1984,Nebraska,229,137,0.60,0,0,0,0,1698403,0
2019,Maine,160,135,0.84,41,0.30,0,0,1399274,587824
1981,Kansas,257,239,0.93,0,0,0,0,2410957,0
1996,Arizona,108,88,0.81,0,0,0,0,4447854,0
2011,New Hampshire,234,164,0.70,164,1.00,0,0,1358371,1230781
1989,Florida,737,704,0.96,0,0,0,0,12706303,0
1960,Alabama,174,129,0.74,0,0,0,0,3324840,0
1999,North Carolina,552,467,0.85,0,0,0,0,7671532,0
2017,Ohio,917,658,0.72,562,0.85,0,0,11763545,9490974
1986,Colorado,272,226,0.83,0,0,2,0.01,3299695,0
1990,New Jersey,617,520,0.84,0,0,0,0,7760737,0
1990,Indiana,342,246,0.72,0,0,0,0,5557361,0
1996,North Carolina,772,479,0.62,0,0,0,0,7347575,0
1966,Montana,91,78,0.86,0,0,0,0,731644,0
2016,Idaho,140,112,0.80,108,0.96,0,0,1741411,1680830
1990,Mississippi,214,114,0.53,0,0,0,0,2591165,0
1965,Alabama,174,97,0.56,0,0,1,0.01,3582883,0
1985,South Dakota,102,55,0.54,0,0,0,0,720413,0
1992,West Virginia,371,297,0.80,0,0,0,0,1852949,0
1983,Indiana,343,277,0.81,0,0,0,0,5492393,0
2008,Oregon,282,163,0.58,56,0.34,0,0,3841297,1092348
1978,Illinois,846,657,0.78,0,0,0,0,11281489,0
2010,Oregon,286,165,0.58,65,0.39,0,0,3889074,1112052
2021,Illinois,1075,373,0.35,373,1.00,0,0,12746501,8198339
1978,Alaska,28,27,0.96,0,0,0,0,442004,0
2009,Washington,304,264,0.87,63,0.24,0,0,6696694,1092727
1962,Delaware,14,11,0.79,0,0,0,0,476802,0
1982,South Carolina,313,208,0.66,0,0,0,0,3260946,0
1985,Delaware,58,50,0.86,0,0,1,0.02,639650,0
1980,Minnesota,288,279,0.97,0,0,0,0,4072762,0
2001,Vermont,85,69,0.81,57,0.83,0,0,621815,523375
2017,Louisiana,309,196,0.63,33,0.17,0,0,4819273,853664
1979,Georgia,519,437,0.84,0,0,0,0,5145108,0
1973,Pennsylvania,923,794,0.86,0,0,2,0.00,12125225,0
1993,Tennessee,292,183,0.63,0,0,0,0,5114594,0
1982,New Jersey,606,513,0.85,0,0,0,0,7441411,0
2019,South Carolina,511,417,0.82,417,1.00,0,0,5171909,5121842
1992,Kansas,373,332,0.89,0,0,0,0,2524061,0
2012,Florida,775,618,0.80,0,0,0,0,19434305,0
1991,Kansas,369,313,0.85,0,0,0,0,2496051,0
2009,New Jersey,615,582,0.95,0,0,2,0.00,8761163,0
1998,South Carolina,443,346,0.78,346,1.00,0,0,3890310,3831825
1967,Kentucky,208,134,0.64,0,0,0,0,3189000,0
2002,Minnesota,336,309,0.92,0,0,0,0,5086860,0
1973,Minnesota,261,256,0.98,0,0,0,0,3902593,0
1963,Connecticut,99,77,0.78,0,0,0,0,2744140,0
1986,Michigan,774,659,0.85,0,0,0,0,9341302,0
1974,North Dakota,71,62,0.87,0,0,0,0,637000,0
1966,Wyoming,44,38,0.86,0,0,0,0,338510,0
2011,North Carolina,586,430,0.73,0,0,0,0,9699207,0
1980,Rhode Island,53,43,0.81,0,0,0,0,950345,0
2018,Arizona,149,116,0.78,6,0.05,0,0,7192613,451878
1981,Arkansas,220,205,0.93,0,0,0,0,2309660,0
1992,Indiana,344,258,0.75,0,0,0,0,5675479,0
2014,California,796,741,0.93,0,0,0,0,38970399,0
1961,Arizona,44,43,0.98,0,0,0,0,1306352,0
1969,Arkansas,145,75,0.52,0,0,0,0,2033649,0
1972,Wyoming,46,35,0.76,0,0,0,0,354027,0
1971,Georgia,294,125,0.43,0,0,0,0,4752514,0
2001,Puerto Rico,1,0,0,0,0,0,0,0,0
1991,Puerto Rico,1,0,0,0,0,0,0,0,0
1982,Oregon,275,253,0.92,0,0,0,0,2655904,0
1962,Iowa,203,195,0.96,0,0,0,0,2785762,0
1979,Louisiana,182,164,0.90,0,0,0,0,4039736,0
2014,Rhode Island,50,49,0.98,47,0.96,0,0,1061770,1054130
2007,West Virginia,465,346,0.74,344,0.99,0,0,1824749,1699630
2017,US Virgin Islands,3,0,0,0,0,0,0,0,0
2007,Iowa,251,228,0.91,226,0.99,0,0,3015918,2951927
2011,Mississippi,231,146,0.63,2,0.01,0,0,2979903,112270
1978,Kansas,240,224,0.93,0,0,0,0,2349415,0
2005,Indiana,363,281,0.77,0,0,0,0,6284182,0
1981,Colorado,258,227,0.88,0,0,0,0,2981143,0
1974,Mississippi,179,121,0.68,0,0,0,0,2328714,0
1995,Indiana,347,251,0.72,0,0,0,0,5817404,0
1976,Massachusetts,331,216,0.65,0,0,0,0,5830444,0
1985,Idaho,116,98,0.84,0,0,0,0,1028987,0
1961,District of Columbia,1,1,1.00,0,0,0,0,763956,0
1966,Connecticut,99,78,0.79,0,0,0,0,2968700,0
2021,Arizona,148,83,0.56,83,1.00,0,0,7284112,3802432
1967,California,436,389,0.89,0,0,0,0,19776944,0
1961,Wyoming,44,41,0.93,0,0,0,0,330066,0
1995,Arizona,108,91,0.84,0,0,0,0,4236915,0
1975,Oklahoma,288,271,0.94,0,0,0,0,2735427,0
1969,Rhode Island,40,31,0.78,0,0,0,0,934026,0
1967,Alabama,172,93,0.54,0,0,0,0,3623460,0
2011,Virginia,446,414,0.93,414,1.00,1,0.00,8103947,8096604
1994,Nevada,37,32,0.86,0,0,0,0,1462255,0
1975,Kentucky,447,440,0.98,0,0,0,0,3401092,0
2010,Illinois,1004,726,0.72,1,0.00,0,0,12888247,152871
1967,North Carolina,213,148,0.69,0,0,0,0,5033679,0
1965,West Virginia,115,53,0.46,0,0,0,0,1792317,0
2019,Delaware,78,62,0.79,62,1.00,0,0,990883,973764
1972,West Virginia,257,247,0.96,0,0,0,0,1781000,0
1984,Rhode Island,54,45,0.83,0,0,0,0,966452,0
1969,New York,440,359,0.82,0,0,0,0,19304368,0
1968,Arizona,53,46,0.87,0,0,0,0,1684883,0
1997,New Hampshire,223,1,0.00,0,0,0,0,1322722,0
2022,Kentucky,599,431,0.72,431,1.00,1,0.00,4558755,4509571
2015,Puerto Rico,18,0,0,0,0,0,0,0,0
1986,Canal Zone,0,0,0,0,0,0,0,0,0
2010,Nevada,58,51,0.88,0,0,0,0,2707228,0
1991,Guam,1,0,0,0,0,0,0,0,0
1989,Canal Zone,0,0,0,0,0,0,0,0,0
1993,South Carolina,380,326,0.86,326,1.00,1,0.00,3698868,3638182
1989,Puerto Rico,1,0,0,0,0,0,0,0,0
1977,Texas,731,666,0.91,0,0,2,0.00,12950922,0
2005,New Jersey,598,518,0.87,0,0,0,0,8770503,0
1984,Louisiana,185,121,0.65,0,0,0,0,4480197,0
2013,West Virginia,468,271,0.58,271,1.00,0,0,1867615,1694656
1969,Oklahoma,172,127,0.74,0,0,0,0,2630235,0
1968,South Dakota,96,75,0.78,0,0,0,0,663122,0
2007,Oregon,282,200,0.71,55,0.28,0,0,3797589,1080239
2012,Idaho,138,112,0.81,109,0.97,0,0,1651515,1595728
1961,New Jersey,320,286,0.89,0,0,0,0,6085359,0
1996,Oregon,280,206,0.74,0,0,0,0,3236571,0
2016,Guam,3,0,0,0,0,0,0,0,0
1992,Montana,120,83,0.69,0,0,0,0,899979,0
1967,Utah,72,57,0.79,0,0,0,0,1053866,0
2012,Arkansas,305,269,0.88,269,1.00,3,0.01,2981157,2893495
1992,Hawaii,14,5,0.36,0,0,0,0,1213250,0
1988,Texas,873,818,0.94,0,0,2,0.00,16890568,0
1976,Delaware,48,43,0.90,0,0,0,0,582510,0
2016,South Carolina,556,449,0.81,449,1.00,0,0,4984808,4942318
2012,Iowa,259,228,0.88,228,1.00,0,0,3098112,2997648
1994,Wyoming,78,67,0.86,0,0,0,0,480120,0
1991,Montana,118,82,0.69,0,0,0,0,882516,0
1992,Vermont,67,40,0.60,0,0,0,0,578599,0
2011,Kentucky,507,380,0.75,378,0.99,0,0,4407173,3629103
